time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444200000	6.82523	0.747061	5.05696	0.0428544	0.0177305	lidar	0.168832	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.06642	0.730697	4.88315	0.0271929	-0.00673891	radar	1.76964	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.2784	0.813545	4.82652	0.0724544	0.0574077	lidar	2.48659	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.57877	0.824486	5.17489	0.0694882	0.0493479	radar	5.35388	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.83317	0.802176	5.1668	0.0494077	0.0187597	lidar	0.494456	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.08088	0.819522	4.98822	0.0526087	0.0208905	radar	2.1817	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.31605	0.836501	4.96438	0.0562314	0.0244891	lidar	0.247862	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.59026	0.925939	5.26095	0.0976331	0.0790416	radar	6.55345	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.83269	0.985974	5.23012	0.120349	0.104225	lidar	0.67383	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.12492	1.02605	5.28371	0.128241	0.107365	radar	6.77256	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.36525	1.05902	5.24567	0.133933	0.108081	lidar	0.64005	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.64636	1.13503	5.31278	0.158885	0.133925	radar	4.2893	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.92559	1.2666	5.36481	0.209697	0.192429	lidar	2.90373	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.17	1.35923	5.13509	0.240626	0.223	radar	4.67001	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.39	1.43833	5.09053	0.262237	0.23738	lidar	1.09386	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6188	1.52053	4.88115	0.285401	0.254727	radar	2.60754	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8355	1.54652	4.83117	0.277524	0.227627	lidar	1.13527	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1056	1.59989	5.02593	0.276302	0.209072	radar	2.60691	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3874	1.64491	5.08408	0.270137	0.18659	lidar	2.20753	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.617	1.70008	4.99239	0.274722	0.180896	radar	0.625383	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8443	1.76298	4.96801	0.282153	0.17882	lidar	0.243443	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1035	1.85792	5.1582	0.299678	0.188728	radar	1.46848	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.349	1.88284	5.12803	0.282803	0.153868	lidar	0.700136	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6067	1.9459	5.23918	0.283284	0.143201	radar	0.609461	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8086	2.08359	5.19231	0.328042	0.192897	lidar	3.17679	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0781	2.2002	5.38093	0.348688	0.205442	radar	2.46916	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2855	2.34297	5.33784	0.389041	0.245113	lidar	2.45813	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.457	2.48958	4.99695	0.437908	0.299232	radar	10.8222	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7068	2.60142	5.04164	0.451428	0.297284	lidar	0.913005	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9258	2.71448	5.01923	0.468326	0.300299	radar	0.111998	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1544	2.86758	5.06303	0.500628	0.322804	lidar	0.528062	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4066	2.98639	5.26621	0.50503	0.302782	radar	1.32328	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6147	3.04724	5.16562	0.491757	0.265783	lidar	2.47652	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.846	3.2126	5.30024	0.52179	0.285577	radar	3.26755	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0587	3.40705	5.33809	0.566986	0.325938	lidar	0.780579	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2667	3.57861	5.21719	0.602524	0.355876	radar	2.58472	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4823	3.76317	5.26099	0.635515	0.375699	lidar	0.377903	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6922	3.89802	5.2222	0.644347	0.363096	radar	1.11957	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9155	4.03217	5.21565	0.64828	0.344642	lidar	0.293609	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1102	4.18837	5.05803	0.671548	0.358017	radar	1.36822	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3053	4.38168	5.10198	0.704371	0.377489	lidar	0.303623	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5166	4.54771	5.17804	0.716437	0.366409	radar	0.737065	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6936	4.70863	5.14085	0.734063	0.36533	lidar	0.493345	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8474	4.88297	4.85182	0.771156	0.401361	radar	2.94762	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0057	5.11186	4.91964	0.818579	0.436917	lidar	0.703845	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1791	5.26992	4.90232	0.828454	0.420821	radar	1.49123	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3339	5.44933	4.88728	0.850644	0.42219	lidar	0.114797	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4939	5.60239	4.812	0.859783	0.407887	radar	2.70228	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.683	5.72011	4.74427	0.844379	0.361877	lidar	1.30582	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8322	5.90065	4.66933	0.868254	0.372998	radar	0.500535	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0014	6.10264	4.73076	0.889476	0.376877	lidar	1.07531	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1554	6.30625	4.81038	0.911331	0.378728	radar	0.966205	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2741	6.56099	4.89003	0.962635	0.42037	lidar	0.945791	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4083	6.77055	4.87886	0.988767	0.428573	radar	0.26932	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5553	6.89925	4.75592	0.977274	0.386134	lidar	1.33058	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7069	7.10831	4.8944	0.988003	0.369099	radar	0.779125	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9064	7.24506	4.83159	0.959625	0.310065	lidar	3.57971	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9991	7.42872	4.60539	0.992746	0.341261	radar	3.52482	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0833	7.71725	4.74395	1.05621	0.400672	lidar	1.9956	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2074	7.9197	4.78382	1.06845	0.387637	radar	0.280592	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2839	8.14434	4.78032	1.10524	0.408956	lidar	1.26963	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3841	8.35424	4.8359	1.12112	0.397084	radar	2.1056	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4808	8.49171	4.66855	1.11757	0.366229	lidar	3.00314	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5763	8.68993	4.59861	1.13635	0.369855	radar	0.411427	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7369	8.8686	4.58358	1.12092	0.328389	lidar	3.94668	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8159	9.07849	4.49297	1.15038	0.351014	radar	0.899479	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9405	9.3231	4.59602	1.16599	0.350401	lidar	3.49273	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.993	9.52787	4.42358	1.2046	0.387696	radar	2.10698	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0723	9.78647	4.53194	1.23762	0.406036	lidar	1.2763	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1334	10.0427	4.68584	1.26804	0.412375	radar	7.53271	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1754	10.338	4.82565	1.31762	0.449438	lidar	1.18798	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1925	10.569	4.69819	1.36577	0.493185	radar	2.69294	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2452	10.8579	4.83202	1.40094	0.507521	lidar	2.18826	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2704	11.1262	4.93526	1.43401	0.51222	radar	4.84477	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.306	11.3616	4.91534	1.45547	0.507081	lidar	0.0207095	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2538	11.6028	4.71299	1.53302	0.597372	radar	9.66152	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3258	11.8366	4.71092	1.53498	0.564572	lidar	5.04338	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.35	12.0774	4.87817	1.53706	0.507577	radar	4.12029	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3302	12.382	5.02697	1.58105	0.531003	lidar	0.900538	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2809	12.6154	4.8667	1.63998	0.592634	radar	2.85756	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3104	12.8436	4.82104	1.64749	0.566445	lidar	2.0601	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3033	13.0667	4.77331	1.66832	0.557644	radar	2.09261	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2721	13.2687	4.68954	1.69512	0.555384	lidar	0.881994	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2355	13.5024	4.73533	1.71876	0.541783	radar	1.35044	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2099	13.7713	4.81668	1.74254	0.538966	lidar	1.45945	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1584	13.9917	4.74873	1.77692	0.555121	radar	0.760201	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0972	14.2576	4.83814	1.80946	0.561796	lidar	0.418965	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0257	14.4864	4.8421	1.84005	0.561765	radar	1.34643	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9088	14.7556	4.96651	1.88802	0.586052	lidar	1.04632	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8437	14.9714	4.94902	1.90145	0.552007	radar	3.41447	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8241	15.1745	4.82366	1.90462	0.523082	lidar	2.2835	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7012	15.3695	4.62179	1.98223	0.635746	radar	7.46724	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6856	15.5357	4.43931	1.98502	0.601029	lidar	3.09167	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.6045	15.7262	4.41812	2.00677	0.583915	radar	1.22338	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4897	15.9544	4.50795	2.04081	0.590227	lidar	0.231375	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.394	16.1573	4.5474	2.05288	0.549164	radar	1.83376	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2835	16.3371	4.50313	2.08326	0.552163	lidar	0.34335	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.173	16.5257	4.48137	2.11222	0.556241	radar	0.204711	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0265	16.7584	4.61537	2.14505	0.562811	lidar	0.493267	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8689	16.9503	4.60268	2.21052	0.647039	radar	6.64036	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6679	17.2188	4.88113	2.25104	0.657534	lidar	2.09993	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5716	17.4209	4.84704	2.22547	0.535595	radar	6.014	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3419	17.6325	5.01411	2.27485	0.56037	lidar	3.60461	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2016	17.8292	5.009	2.2751	0.49938	radar	2.10247	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0813	18.0051	4.9109	2.28883	0.487254	lidar	1.03181	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9069	18.1557	4.84693	2.33578	0.533313	radar	2.24293	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7968	18.2776	4.64128	2.35541	0.525233	lidar	1.05948	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6719	18.4504	4.59116	2.36201	0.49481	radar	6.48828	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4602	18.6503	4.75445	2.39056	0.499141	lidar	0.635904	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2844	18.7858	4.70642	2.42784	0.523659	radar	1.8122	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1317	18.915	4.61337	2.45224	0.521688	lidar	0.206441	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9648	19.0851	4.6346	2.46402	0.498842	radar	3.02276	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7418	19.2067	4.6737	2.50522	0.51658	lidar	2.77613	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5467	19.3642	4.7281	2.53012	0.521726	radar	3.27651	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3018	19.5425	4.90666	2.55504	0.519615	lidar	0.752545	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.081	19.6226	4.8587	2.60887	0.565355	radar	10.1583	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8717	19.7689	4.89796	2.62895	0.556225	lidar	0.700046	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6901	19.8892	4.78821	2.63163	0.498666	radar	3.25542	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4444	20.054	4.94287	2.64734	0.487232	lidar	1.06071	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2195	20.2056	5.00534	2.65709	0.464231	radar	5.43451	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0475	20.3252	4.90322	2.66973	0.453802	lidar	2.001	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.815	20.4082	4.9081	2.70911	0.48244	radar	2.21603	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6038	20.5241	4.90159	2.72607	0.474789	lidar	0.587977	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3581	20.6166	4.97116	2.76299	0.50469	radar	1.21355	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1149	20.6872	4.9732	2.7961	0.513172	lidar	0.684615	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8714	20.7626	5.01193	2.83141	0.53535	radar	0.297596	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.5904	20.8283	5.09961	2.86567	0.542345	lidar	1.391	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3349	20.8634	5.15236	2.91895	0.596966	radar	2.14674	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1004	20.8944	5.08761	2.95531	0.605127	lidar	0.259674	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8682	20.9543	5.04124	2.97522	0.588604	radar	1.89154	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6972	20.981	4.84506	3.00474	0.593027	lidar	2.21194	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4374	21.0259	4.91198	3.03033	0.588836	radar	2.52525	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1915	21.0617	4.92537	3.0553	0.583544	lidar	0.137636	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9548	21.0809	4.92342	3.08634	0.590746	radar	0.937032	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7221	21.0455	4.86198	3.13375	0.612268	lidar	1.86302	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4778	21.031	4.85433	3.16911	0.616993	radar	1.05676	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2744	21.0188	4.75946	3.20211	0.622026	lidar	0.608435	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0203	20.98	4.79175	3.24089	0.629845	radar	4.13342	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8218	20.9376	4.69243	3.2812	0.642802	lidar	0.34038	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5828	20.932	4.57627	3.28822	0.59116	radar	5.54981	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2717	20.9744	4.79279	3.27686	0.53742	lidar	3.88299	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0369	20.9538	4.78508	3.29733	0.529159	radar	1.00859	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.86298	20.9101	4.63814	3.33267	0.543548	lidar	1.35885	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.64642	20.8933	4.48529	3.3374	0.498834	radar	1.72225	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.46375	20.8436	4.3991	3.36903	0.508919	lidar	0.417169	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.25709	20.7952	4.42451	3.39735	0.518372	radar	1.42271	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.91803	20.7812	4.71367	3.38449	0.465782	lidar	3.40561	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.71519	20.6974	4.68528	3.42513	0.491606	radar	4.29444	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40766	20.623	4.8822	3.43778	0.472635	lidar	3.1076	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17657	20.5437	4.90271	3.46596	0.481175	radar	0.0770862	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.92505	20.4655	4.94943	3.48531	0.474561	lidar	0.112267	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.70577	20.3807	4.9966	3.51731	0.49539	radar	3.36142	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.35971	20.3288	5.24702	3.50178	0.442701	lidar	2.64282	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.11567	20.2371	5.20748	3.51945	0.431909	radar	0.263677	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.84951	20.1522	5.26106	3.53067	0.418789	lidar	0.160322	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.61755	20.0634	5.19594	3.5459	0.407792	radar	0.596906	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.37953	19.9687	5.19296	3.5628	0.403988	lidar	0.112433	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.16043	19.8762	5.15683	3.5818	0.405167	radar	3.04543	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.89889	19.781	5.21554	3.58942	0.389269	lidar	0.258204	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.6487	19.6392	5.36524	3.62231	0.416895	radar	1.61967	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.51344	19.5072	5.14283	3.66963	0.453302	lidar	2.38665	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.31147	19.3586	5.13043	3.70403	0.469916	radar	1.873	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.11152	19.2542	5.07436	3.71989	0.462784	lidar	2.00511	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.93861	19.1404	4.88325	3.73895	0.451316	radar	4.59703	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.79651	18.9901	4.77162	3.78168	0.478593	lidar	0.653581	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.58028	18.8398	4.91878	3.80398	0.482618	radar	1.64826	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.41083	18.7082	4.85574	3.82803	0.484551	lidar	1.02847	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
1477010452550000	4.24583	18.5638	4.71687	3.85091	0.476871	radar	1.06957	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888
1477010452600000	4.13675	18.4124	4.58477	3.89611	0.506979	lidar	1.30609	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362
1477010452650000	3.93535	18.2401	4.92623	3.92338	0.525222	radar	7.00683	3.42434	18.8357	3.84606	18.2457	-3.82841	-3.26644
